dataset,method,recipe_name,node_id,step_text,ground_truth_error,max_minus_min
captaincookrecipes,entail_base,broccolistirfry,2,"Because we have completed all previous steps (Whisk-Whisk the contents of bowl),  we can now do the step Set-Set aside the sauce mixture. And now we have completed this step Set-Set aside the sauce mixture.",1,0.0
captaincookrecipes,entail_base,broccolistirfry,3,"Because we have completed all previous steps (START), and have all necessary ingredients (honey), we can now do the step Add-Add 1 tablespoon honey to the bowl. And now we have completed this step Add-Add 1 tablespoon honey to the bowl.",0,0.0
captaincookrecipes,entail_base,broccolistirfry,4,"Because we have completed all previous steps (Add-add sliced mushrooms to the skillet, and Add-Add broccoli to the skillet),  we can now do the step cook-cook, stirring often, for 4 minutes. If the pan gets too hot on medium-high, turn the heat down to medium. And now we have completed this step cook-cook, stirring often, for 4 minutes. If the pan gets too hot on medium-high, turn the heat down to medium.",1,0.0
captaincookrecipes,entail_base,broccolistirfry,5,"Because we have completed all previous steps (START), and have all necessary ingredients (cornstarch), we can now do the step Add-Add 1 teaspoon cornstarch to the bowl. And now we have completed this step Add-Add 1 teaspoon cornstarch to the bowl.",0,0.0
captaincookrecipes,entail_base,broccolistirfry,6,"Because we have completed all previous steps (mince-mince garlic), and have all necessary ingredients (garlic), we can now do the step Add-Add 2 cloves minced garlic to the bowl. And now we have completed this step Add-Add 2 cloves minced garlic to the bowl.",0,0.0
captaincookrecipes,entail_base,broccolistirfry,7,"Because we have completed all previous steps (Whisk-Whisk the sauce again to recombine the ingredients),  we can now do the step Pour-Pour the sauce into the skillet. And now we have completed this step Pour-Pour the sauce into the skillet.",1,0.0
captaincookrecipes,entail_base,broccolistirfry,8,"Because we have completed all previous steps (START), and have all necessary ingredients (garlic), we can now do the step Peel-Peel 2 cloves of garlic. And now we have completed this step Peel-Peel 2 cloves of garlic.",0,0.0
captaincookrecipes,entail_base,broccolistirfry,9,"Because we have completed all previous steps (Heat-Heat 2 tablespoons olive oil in a skillet over medium-high heat), and have all necessary ingredients (mushrooms), we can now do the step Add-add sliced mushrooms to the skillet. And now we have completed this step Add-add sliced mushrooms to the skillet.",1,0.0
captaincookrecipes,entail_base,broccolistirfry,10,"Because we have completed all previous steps (Take-Take 2 cremini mushrooms), and have all necessary ingredients (mushrooms), we can now do the step slice-slice mushrooms. And now we have completed this step slice-slice mushrooms.",0,0.0
captaincookrecipes,entail_base,broccolistirfry,11,"Because we have completed all previous steps (Add-Add 1/8 teaspoon black pepper to the bowl, and Add-Add 1/2 tablespoon minced ginger to the bowl, and Add-Add 1 teaspoon cornstarch to the bowl, and Add-Add 1/6 cup water the bowl, and Add-Add 2 cloves minced garlic to the bowl, and Add-Add 1 tablespoon honey to the bowl, and Add-Add 1/8 cup soy sauce to the bowl),  we can now do the step Whisk-Whisk the contents of bowl. And now we have completed this step Whisk-Whisk the contents of bowl.",1,0.0
captaincookrecipes,entail_base,broccolistirfry,12,"Because we have completed all previous steps (cook-cook, stirring often, for 4 minutes. If the pan gets too hot on medium-high, turn the heat down to medium), and have all necessary ingredients (bell pepper), we can now do the step Add-Add bell pepper to the skillet. And now we have completed this step Add-Add bell pepper to the skillet.",1,0.0
captaincookrecipes,entail_base,broccolistirfry,13,"Because we have completed all previous steps (Peel-Peel 2 cloves of garlic), and have all necessary ingredients (garlic), we can now do the step mince-mince garlic. And now we have completed this step mince-mince garlic.",0,0.0
captaincookrecipes,entail_base,broccolistirfry,14,"Because we have completed all previous steps (Take-Take 1 bell pepper), and have all necessary ingredients (bell pepper), we can now do the step slice-slice 1/3 of the bell pepper. And now we have completed this step slice-slice 1/3 of the bell pepper.",0,0.0
captaincookrecipes,entail_base,broccolistirfry,15,"Because we have completed all previous steps (Pour-Pour the sauce into the skillet),  we can now do the step cook-cook, stirring, for 1 minute until the sauce thickens. And now we have completed this step cook-cook, stirring, for 1 minute until the sauce thickens.",1,0.0
captaincookrecipes,entail_base,broccolistirfry,16,"Because we have completed all previous steps (Heat-Heat 2 tablespoons olive oil in a skillet over medium-high heat), and have all necessary ingredients (broccoli), we can now do the step Add-Add broccoli to the skillet. And now we have completed this step Add-Add broccoli to the skillet.",1,0.0
captaincookrecipes,entail_base,broccolistirfry,17,"Because we have completed all previous steps (slice-slice 1/3 of the bell pepper, and Take-Take 5 in number broccoli florets, and slice-slice mushrooms, and Set-Set aside the sauce mixture), and have all necessary ingredients (olive oil), we can now do the step Heat-Heat 2 tablespoons olive oil in a skillet over medium-high heat. And now we have completed this step Heat-Heat 2 tablespoons olive oil in a skillet over medium-high heat.",1,0.0
captaincookrecipes,entail_base,broccolistirfry,18,"Because we have completed all previous steps (START), and have all necessary ingredients (ginger), we can now do the step Add-Add 1/2 tablespoon minced ginger to the bowl. And now we have completed this step Add-Add 1/2 tablespoon minced ginger to the bowl.",0,1.0
captaincookrecipes,entail_base,broccolistirfry,19,"Because we have completed all previous steps (START), and have all necessary ingredients (black pepper), we can now do the step Add-Add 1/8 teaspoon black pepper to the bowl. And now we have completed this step Add-Add 1/8 teaspoon black pepper to the bowl.",0,1.0
captaincookrecipes,entail_base,broccolistirfry,20,"Because we have completed all previous steps (START), and have all necessary ingredients (water), we can now do the step Add-Add 1/6 cup water the bowl. And now we have completed this step Add-Add 1/6 cup water the bowl.",1,1.0
captaincookrecipes,entail_base,broccolistirfry,21,"Because we have completed all previous steps (START), and have all necessary ingredients (cremini mushrooms), we can now do the step Take-Take 2 cremini mushrooms. And now we have completed this step Take-Take 2 cremini mushrooms.",0,0.0
captaincookrecipes,entail_base,broccolistirfry,22,"Because we have completed all previous steps (START), and have all necessary ingredients (bell pepper), we can now do the step Take-Take 1 bell pepper. And now we have completed this step Take-Take 1 bell pepper.",0,0.0
captaincookrecipes,entail_base,broccolistirfry,23,"Because we have completed all previous steps (continue cooking-continue cooking, stirring often, for 2-3 minutes, until vegetables are crisp-tender),  we can now do the step Whisk-Whisk the sauce again to recombine the ingredients. And now we have completed this step Whisk-Whisk the sauce again to recombine the ingredients.",1,0.0
captaincookrecipes,entail_base,broccolistirfry,24,"Because we have completed all previous steps (START), and have all necessary ingredients (broccoli florets), we can now do the step Take-Take 5 in number broccoli florets. And now we have completed this step Take-Take 5 in number broccoli florets.",0,0.0
captaincookrecipes,entail_base,broccolistirfry,25,"Because we have completed all previous steps (Add-Add bell pepper to the skillet),  we can now do the step continue cooking-continue cooking, stirring often, for 2-3 minutes, until vegetables are crisp-tender. And now we have completed this step continue cooking-continue cooking, stirring often, for 2-3 minutes, until vegetables are crisp-tender.",1,0.0
captaincookrecipes,entail_base,broccolistirfry,26,"Because we have completed all previous steps (cook-cook, stirring, for 1 minute until the sauce thickens),  we can now do the step END. And now we have completed this step END.",1,0.0
captaincookrecipes,entail_base,buttercorncup,1,"Because we have completed all previous steps (Microwave-Microwave the corn for 3 more minutes, and Extract-Extract lime juice from 1/3 lime), and have all necessary ingredients (lime), we can now do the step add-add lime juice to the bowl. And now we have completed this step add-add lime juice to the bowl.",1,0.0
captaincookrecipes,entail_base,buttercorncup,2,"Because we have completed all previous steps (START), and have all necessary ingredients (corn), we can now do the step Measure-Measure 2 cups of frozen corn. And now we have completed this step Measure-Measure 2 cups of frozen corn.",0,0.0
captaincookrecipes,entail_base,buttercorncup,3,"Because we have completed all previous steps (Microwave-Microwave the corn for 2 minutes), and have all necessary ingredients (pepper), we can now do the step Add-1 teaspoon of pepper powder to the bowl. And now we have completed this step Add-1 teaspoon of pepper powder to the bowl.",0,0.0
captaincookrecipes,entail_base,buttercorncup,4,"Because we have completed all previous steps (START), and have all necessary ingredients (lime), we can now do the step Extract-Extract lime juice from 1/3 lime. And now we have completed this step Extract-Extract lime juice from 1/3 lime.",0,0.0
captaincookrecipes,entail_base,buttercorncup,6,"Because we have completed all previous steps (Thaw-Thaw the frozen corn by putting it in a sieve and running it under cold water), and have all necessary ingredients (corn), we can now do the step Add-Add the corn into a microwave-safe bowl. And now we have completed this step Add-Add the corn into a microwave-safe bowl.",0,1.0
captaincookrecipes,entail_base,buttercorncup,7,"Because we have completed all previous steps (Add-Add 1 teaspoon salt to the bowl, and add-add lime juice to the bowl),  we can now do the step Mix-Mix the contents of the bowl well. And now we have completed this step Mix-Mix the contents of the bowl well.",1,0.0
captaincookrecipes,entail_base,buttercorncup,8,"Because we have completed all previous steps (Add-Add the corn into a microwave-safe bowl), and have all necessary ingredients (corn), we can now do the step Microwave-Microwave the corn for 2 minutes. And now we have completed this step Microwave-Microwave the corn for 2 minutes.",0,1.0
captaincookrecipes,entail_base,buttercorncup,9,"Because we have completed all previous steps (stir-then stir the bowl), and have all necessary ingredients (corn), we can now do the step Microwave-Microwave the corn for 3 more minutes. And now we have completed this step Microwave-Microwave the corn for 3 more minutes.",1,0.0
captaincookrecipes,entail_base,buttercorncup,10,"Because we have completed all previous steps (Add-1 teaspoon of pepper powder to the bowl, and Add-Add 1 teaspoon of softened butter),  we can now do the step stir-then stir the bowl. And now we have completed this step stir-then stir the bowl.",1,0.0
captaincookrecipes,entail_base,buttercorncup,11,"Because we have completed all previous steps (Microwave-Microwave the corn for 3 more minutes), and have all necessary ingredients (salt), we can now do the step Add-Add 1 teaspoon salt to the bowl. And now we have completed this step Add-Add 1 teaspoon salt to the bowl.",1,0.0
captaincookrecipes,entail_base,buttercorncup,12,"Because we have completed all previous steps (Measure-Measure 2 cups of frozen corn),  we can now do the step Thaw-Thaw the frozen corn by putting it in a sieve and running it under cold water. And now we have completed this step Thaw-Thaw the frozen corn by putting it in a sieve and running it under cold water.",0,0.0
captaincookrecipes,entail_base,buttercorncup,13,"Because we have completed all previous steps (Microwave-Microwave the corn for 2 minutes), and have all necessary ingredients (butter), we can now do the step Add-Add 1 teaspoon of softened butter. And now we have completed this step Add-Add 1 teaspoon of softened butter.",1,0.0
captaincookrecipes,entail_base,buttercorncup,14,"Because we have completed all previous steps (Mix-Mix the contents of the bowl well),  we can now do the step END. And now we have completed this step END.",1,0.0
captaincookrecipes,entail_base,capresebruschetta,1,"Because we have completed all previous steps (START), and have all necessary ingredients (mozzarella), we can now do the step add-1/8 cup shredded mozzarella to a bowl. And now we have completed this step add-1/8 cup shredded mozzarella to a bowl.",0,1.0
captaincookrecipes,entail_base,capresebruschetta,2,"Because we have completed all previous steps (START), and have all necessary ingredients (salt), we can now do the step add-1/4 tsp salt to a bowl. And now we have completed this step add-1/4 tsp salt to a bowl.",0,0.0
captaincookrecipes,entail_base,capresebruschetta,3,"Because we have completed all previous steps (START), and have all necessary ingredients (baguette), we can now do the step Slice-Slice two 1/2 inch thick rounds from a baguette (slice slanted). And now we have completed this step Slice-Slice two 1/2 inch thick rounds from a baguette (slice slanted).",0,0.0
captaincookrecipes,entail_base,capresebruschetta,4,"Because we have completed all previous steps (Toast-Toast both sides of the slices on the pan for 2 to 3 minutes until lightly charred and crispy and transfer the slices to a plate, and Combine-Combine the contents of the bowl),  we can now do the step Spoon-Spoon the mixture from the bowl onto the bread. And now we have completed this step Spoon-Spoon the mixture from the bowl onto the bread.",1,0.0
captaincookrecipes,entail_base,capresebruschetta,5,"Because we have completed all previous steps (START), and have all necessary ingredients (pepper), we can now do the step add-1/4 tsp pepper to a bowl. And now we have completed this step add-1/4 tsp pepper to a bowl.",1,0.0
captaincookrecipes,entail_base,capresebruschetta,6,"Because we have completed all previous steps (START), and have all necessary ingredients (basil), we can now do the step add-1/16 cup basil to a bowl. And now we have completed this step add-1/16 cup basil to a bowl.",0,0.0
captaincookrecipes,entail_base,capresebruschetta,7,"Because we have completed all previous steps (add-1/4 tsp salt to a bowl, and add-1/4 tsp pepper to a bowl, and add-1/16 cup basil to a bowl, and add-In a bowl, add the cut cherry tomatoes, and add-1/8 cup shredded mozzarella to a bowl),  we can now do the step Combine-Combine the contents of the bowl. And now we have completed this step Combine-Combine the contents of the bowl.",1,0.0
captaincookrecipes,entail_base,capresebruschetta,8,"Because we have completed all previous steps (Slice-Slice two 1/2 inch thick rounds from a baguette (slice slanted)), and have all necessary ingredients (baguette, and olive oil), we can now do the step Brush-Brush 2 slices of baguette with olive oil on both sides. And now we have completed this step Brush-Brush 2 slices of baguette with olive oil on both sides.",0,0.0
captaincookrecipes,entail_base,capresebruschetta,9,"Because we have completed all previous steps (START), and have all necessary ingredients (cherry tomatoes), we can now do the step Cut-Cut 1/4 cup of cherry tomatoes into halves. And now we have completed this step Cut-Cut 1/4 cup of cherry tomatoes into halves.",0,0.0
captaincookrecipes,entail_base,capresebruschetta,10,"Because we have completed all previous steps (Cut-Cut 1/4 cup of cherry tomatoes into halves), and have all necessary ingredients (cherry tomatoes), we can now do the step add-In a bowl, add the cut cherry tomatoes. And now we have completed this step add-In a bowl, add the cut cherry tomatoes.",0,0.0
captaincookrecipes,entail_base,capresebruschetta,11,"Because we have completed all previous steps (Brush-Brush 2 slices of baguette with olive oil on both sides),  we can now do the step Toast-Toast both sides of the slices on the pan for 2 to 3 minutes until lightly charred and crispy and transfer the slices to a plate. And now we have completed this step Toast-Toast both sides of the slices on the pan for 2 to 3 minutes until lightly charred and crispy and transfer the slices to a plate.",0,0.0
captaincookrecipes,entail_base,capresebruschetta,12,"Because we have completed all previous steps (Spoon-Spoon the mixture from the bowl onto the bread),  we can now do the step END. And now we have completed this step END.",1,0.0
captaincookrecipes,entail_base,cheesepimiento,1,"Because we have completed all previous steps (Mix-Mix the cheese and red bell pepper in the bowl), and have all necessary ingredients (butter), we can now do the step add-add 1/2 tbsp softened butter to the bowl. And now we have completed this step add-add 1/2 tbsp softened butter to the bowl.",1,1.0
captaincookrecipes,entail_base,cheesepimiento,2,"Because we have completed all previous steps (Mix-Mix the cheese and red bell pepper in the bowl), and have all necessary ingredients (salt), we can now do the step Add-Add 1/4 teaspoon salt to the bowl. And now we have completed this step Add-Add 1/4 teaspoon salt to the bowl.",1,0.0
captaincookrecipes,entail_base,cheesepimiento,3,"Because we have completed all previous steps (START),  we can now do the step Add-Add 1/3 cup cheddar cheese to a microwave-safe cup. And now we have completed this step Add-Add 1/3 cup cheddar cheese to a microwave-safe cup.",0,1.0
captaincookrecipes,entail_base,cheesepimiento,4,"Because we have completed all previous steps (Melt-Melt the cheese by microwaving cup for 30 sec. (Check after 30 seconds and microwave for 10 seconds more if needed), and Microwave-Microwave the bowl, covered, for 2 minutes), and have all necessary ingredients (cheese, and red bell pepper), we can now do the step Mix-Mix the cheese and red bell pepper in the bowl. And now we have completed this step Mix-Mix the cheese and red bell pepper in the bowl.",1,0.0
captaincookrecipes,entail_base,cheesepimiento,5,"Because we have completed all previous steps (Place-Place the chopped pepper in the microwave-safe bowl, and Add-Add 1 tablespoons of water to the bowl),  we can now do the step Microwave-Microwave the bowl, covered, for 2 minutes. And now we have completed this step Microwave-Microwave the bowl, covered, for 2 minutes.",1,0.0
captaincookrecipes,entail_base,cheesepimiento,6,"Because we have completed all previous steps (Mix-Mix the cheese and red bell pepper in the bowl), and have all necessary ingredients (pepper), we can now do the step Add-Add 1/4 teaspoon pepper to the bowl. And now we have completed this step Add-Add 1/4 teaspoon pepper to the bowl.",1,0.0
captaincookrecipes,entail_base,cheesepimiento,7,"Because we have completed all previous steps (START), and have all necessary ingredients (water), we can now do the step Add-Add 1 tablespoons of water to the bowl. And now we have completed this step Add-Add 1 tablespoons of water to the bowl.",1,0.0
captaincookrecipes,entail_base,cheesepimiento,8,"Because we have completed all previous steps (START), and have all necessary ingredients (red bell pepper), we can now do the step Chop-Chop 1/4 red bell pepper into tiny bits. And now we have completed this step Chop-Chop 1/4 red bell pepper into tiny bits.",0,0.0
captaincookrecipes,entail_base,cheesepimiento,9,"Because we have completed all previous steps (Chop-Chop 1/4 red bell pepper into tiny bits), and have all necessary ingredients (pepper), we can now do the step Place-Place the chopped pepper in the microwave-safe bowl. And now we have completed this step Place-Place the chopped pepper in the microwave-safe bowl.",0,1.0
captaincookrecipes,entail_base,cheesepimiento,10,"Because we have completed all previous steps (Add-Add 1/3 cup cheddar cheese to a microwave-safe cup), and have all necessary ingredients (cheese), we can now do the step Melt-Melt the cheese by microwaving cup for 30 sec. (Check after 30 seconds and microwave for 10 seconds more if needed). And now we have completed this step Melt-Melt the cheese by microwaving cup for 30 sec. (Check after 30 seconds and microwave for 10 seconds more if needed).",0,1.0
captaincookrecipes,entail_base,cheesepimiento,11,"Because we have completed all previous steps (Add-Add 1/4 teaspoon pepper to the bowl, and add-add 1/2 tbsp softened butter to the bowl, and Add-Add 1/4 teaspoon salt to the bowl),  we can now do the step Mix-Mix all the ingredients of the bowl well. And now we have completed this step Mix-Mix all the ingredients of the bowl well.",1,0.0
captaincookrecipes,entail_base,cheesepimiento,12,"Because we have completed all previous steps (Mix-Mix all the ingredients of the bowl well),  we can now do the step END. And now we have completed this step END.",1,0.0
captaincookrecipes,entail_base,coffee,1,"Because we have completed all previous steps (Pour-Pour a small amount of water into the filter to wet the grounds),  we can now do the step Wait-Wait about 30 seconds for the coffee to bloom. (You will see small bubbles or foam on the coffee grounds during this step.). And now we have completed this step Wait-Wait about 30 seconds for the coffee to bloom. (You will see small bubbles or foam on the coffee grounds during this step.).",1,0.0
captaincookrecipes,entail_base,coffee,2,"Because we have completed all previous steps (check-Once the water has boiled, check the temperature of the water. (The water should be between 195-205 degrees Fahrenheit or between 91-96 degrees Celsius. If the water is too hot, let it cool briefly.), and Transfer-Transfer the grounds to the filter cone), and have all necessary ingredients (water), we can now do the step Pour-Pour a small amount of water into the filter to wet the grounds. And now we have completed this step Pour-Pour a small amount of water into the filter to wet the grounds.",1,0.0
captaincookrecipes,entail_base,coffee,3,"Because we have completed all previous steps (spread-spread open filter in dripper to create a cone, and Grind-Grind the coffee beans until the coffee grounds are the consistency of coarse sand, about 20 seconds),  we can now do the step Transfer-Transfer the grounds to the filter cone. And now we have completed this step Transfer-Transfer the grounds to the filter cone.",0,0.0
captaincookrecipes,entail_base,coffee,4,"Because we have completed all previous steps (Place-Place the paper filter in the dripper),  we can now do the step spread-spread open filter in dripper to create a cone. And now we have completed this step spread-spread open filter in dripper to create a cone.",0,0.0
captaincookrecipes,entail_base,coffee,5,"Because we have completed all previous steps (Prepare-Prepare the filter insert by folding the paper filter in half to create a semi-circle, and in half again to create a quarter-circle, and Place-Place the dripper on top of a coffee mug),  we can now do the step Place-Place the paper filter in the dripper. And now we have completed this step Place-Place the paper filter in the dripper.",0,0.0
captaincookrecipes,entail_base,coffee,6,"Because we have completed all previous steps (Wait-Wait about 30 seconds for the coffee to bloom. (You will see small bubbles or foam on the coffee grounds during this step.)), and have all necessary ingredients (water, and grounds), we can now do the step pour-Slowly pour the rest of the water over the grounds in a circular motion. Do not overfill beyond the top of the paper filter. And now we have completed this step pour-Slowly pour the rest of the water over the grounds in a circular motion. Do not overfill beyond the top of the paper filter.",1,0.0
captaincookrecipes,entail_base,coffee,7,"Because we have completed all previous steps (START),  we can now do the step Prepare-Prepare the filter insert by folding the paper filter in half to create a semi-circle, and in half again to create a quarter-circle. And now we have completed this step Prepare-Prepare the filter insert by folding the paper filter in half to create a semi-circle, and in half again to create a quarter-circle.",0,0.0
captaincookrecipes,entail_base,coffee,8,"Because we have completed all previous steps (drain-Let the coffee drain completely into the mug before removing the dripper),  we can now do the step Discard-Discard the paper filter and coffee grounds. And now we have completed this step Discard-Discard the paper filter and coffee grounds.",1,0.0
captaincookrecipes,entail_base,coffee,9,"Because we have completed all previous steps (transfer-transfer water to a kettle),  we can now do the step Boil-Boil the water. (While the water is boiling, assemble the filter cone). And now we have completed this step Boil-Boil the water. (While the water is boiling, assemble the filter cone).",1,0.0
captaincookrecipes,entail_base,coffee,10,"Because we have completed all previous steps (START), and have all necessary ingredients (coffee beans), we can now do the step Weigh-Weigh the coffee beans (0.8oz-0.12 oz). And now we have completed this step Weigh-Weigh the coffee beans (0.8oz-0.12 oz).",0,0.0
captaincookrecipes,entail_base,coffee,11,"Because we have completed all previous steps (pour-Slowly pour the rest of the water over the grounds in a circular motion. Do not overfill beyond the top of the paper filter),  we can now do the step drain-Let the coffee drain completely into the mug before removing the dripper. And now we have completed this step drain-Let the coffee drain completely into the mug before removing the dripper.",1,0.0
captaincookrecipes,entail_base,coffee,12,"Because we have completed all previous steps (Weigh-Weigh the coffee beans (0.8oz-0.12 oz)), and have all necessary ingredients (coffee beans), we can now do the step Grind-Grind the coffee beans until the coffee grounds are the consistency of coarse sand, about 20 seconds. And now we have completed this step Grind-Grind the coffee beans until the coffee grounds are the consistency of coarse sand, about 20 seconds.",0,1.0
